request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 on 5 August 2025. This leaves at least USD 4,747.21 available, protecting the minimum balance of USD 1,300.00."
request_63,54182.39,affordable_with_plan,partial_payment,2026-07-07:54182.39|2026-09-15:289717.61,2026-09-15,none,"Pay INR 54,182.39 on 7 July 2026. This leaves at least INR 153,500 available."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected."
request_65,5834.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 15,500 minimum protected."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 on 3 April 2026. This leaves at least INR 80,700 available."
request_67,359.56,affordable_later,wait,2024-09-15:2094,2024-09-15,none,"Make a payment of USD 2,094 on 15 September 2024. This leaves at least USD 1,200 available."
request_68,1371.36,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected."
request_69,529.1,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Pay EUR 529.10 on 4 January 2026. This leaves at least EUR 1,110.40 available, protecting the minimum balance of EUR 700.00."
request_70,59952.21,affordable_later,wait,2025-02-15:243900,2025-02-15,none,"Make a payment of INR 243,900 on 15 February 2025. This leaves at least INR 115,000 available."
request_71,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected."
request_72,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2026. None of the available options keeps the ZAR 12,200 minimum protected."
request_73,67290.08,affordable_later,wait,2023-02-15:71400,2023-02-15,none,"Make the payment of INR 71,400 on 15 February 2023. This leaves at least INR 103,200 available."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 on 4 August 2025. This leaves at least ZAR 21,900 available."
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,"Use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available."
request_76,962.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected."
request_77,57166,affordable_later,wait,2025-11-15:60700,2025-11-15,none,"Wait until 15 November 2025 to make a payment of INR 60,700. This leaves at least INR 82,200 available."
request_78,34165.25,affordable_later,wait,2025-12-15:50200,2025-12-15,none,"Make the payment of INR 50,200 on 15 December 2025. This leaves at least INR 55,200 available."
request_79,398.29,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 1 November 2024. None of the available options keeps the EUR 1,000 minimum protected."
request_80,113451.83,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076.00 on 3 July 2026. This leaves at least USD 1,600.00 available."
request_82,453.22,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Make a payment of USD 1,405.20 on 15 February 2025. This leaves at least USD 1,100 available."
request_83,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected."
request_84,22249.17,affordable_later,wait,2026-06-15:95400,2026-06-15,none,"Wait until 15 June 2026 to make the payment of INR 95,400. This leaves at least INR 91,300 available."
request_85,7636.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 on 3 August 2025. This leaves at least INR 84,900 available."
request_87,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available."
request_89,9713293.58,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,"Use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700.00 available."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560.00 on 6 July 2026. This leaves at least ZAR 7,600 available."
request_91,595.7,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Wait until 15 November 2024 to make the payment of EUR 1,927.20, ensuring at least EUR 2,100 is protected."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 on 5 February 2025. This leaves at least ZAR 28,100 available."
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 on 7 April 2026. This leaves at least USD 1,900 available."
request_94,271.56,not_affordable,not_recommended,none,,none,Do not make this payment by 22 December 2024. None of the available options keeps the EUR 600.00 minimum protected.
request_95,23022.62,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected."
request_96,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 March 2026. None of the available options keeps the INR 56,500 minimum protected."
request_97,1740.93,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-15,none,"Pay ZAR 8,145.28 on 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,5651.98,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 on 4 July 2026. This leaves at least ZAR 49,100 available."
request_100,25055.2,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 on 3 November 2025. This leaves at least INR 187,400 available."
request_102,1473.19,not_affordable,not_recommended,none,,none,Do not make this payment by 12 June 2026. None of the available options keeps the EUR 900.00 minimum protected.
request_103,16614.03,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 on 4 February 2025. This leaves at least ZAR 24,700 available."
request_105,51757.59,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9720:1632,"Pay INR 53,500 on 8 June 2026. This leaves at least INR 73,900 available."
request_106,539.84,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Wait until 15 January 2025 to make a payment of EUR 2,207.70. This leaves at least EUR 1,200 protected."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected."
request_108,3091.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,614.19,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-15,none,"Pay EUR 645.98 on 18 March 2024. This leaves at least EUR 1,330.48 available while protecting the minimum balance of EUR 1,700.00."
request_110,19751.69,not_affordable,not_recommended,none,,none,"Do not make this payment by 11 October 2025. None of the available options keeps the ZAR 11,200 minimum protected."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 on 3 April 2026. This leaves at least IDR 23,022,800 available."
request_112,0,not_affordable,not_recommended,none,,none,Do not make this payment by 14 June 2024. None of the available options keeps the EUR 500 minimum protected.
request_113,28085.66,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Make a payment of INR 36,500 on 15 September 2026. This leaves at least INR 82,300 available."
request_114,59438.69,affordable_later,wait,2026-02-15:65300,2026-02-15,none,"Make the payment of INR 65,300 on 15 February 2026. This leaves at least INR 113,400 available."
request_115,16371.71,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Wait until 15 November 2024 to make a payment of INR 80,500. This leaves at least INR 38,800 available."
request_116,16306.53,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880.00 on 5 July 2026. This leaves at least EUR 1,000 available."
request_118,704.02,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600.00 available."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 on 6 April 2026. This leaves at least IDR 20,050,300 available."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 on 5 March 2024. This leaves at least USD 800 available.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 on 7 January 2026. This leaves at least IDR 18,091,200 available."
request_124,1498.4,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-06-15,none,"Pay EUR 1,076.12 on 11 June 2024. This leaves at least EUR 1,600 available."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 on 6 November 2025. This leaves at least ZAR 11,300 available."
request_126,155767.31,affordable_with_plan,full_payment,2026-07-03:159600,,reduce_to:event_11638:1784,"Pay INR 159,600 on 3 July 2026. This leaves at least INR 129,700 available."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 on 7 February 2025. This leaves at least ZAR 42,600 available."
request_129,74.65,not_affordable,not_recommended,none,,none,Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected.
request_130,406.19,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Make a payment of USD 1,978.80 on 15 February 2025. This leaves at least USD 1,400 available."
request_131,1109.9,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-15,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,220.9,affordable_later,wait,2026-03-15:379.86,2026-03-15,none,"Make a payment of USD 379.86 on 15 March 2026. This leaves at least USD 1,100 available."
request_133,186270.7,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,6367512.98,affordable_later,wait,2025-08-15:21831000,2025-08-15,none,"Make the payment of IDR 21,831,000 on 15 August 2025. This leaves at least IDR 15,902,500 available."
request_135,304.8,affordable_now,full_payment,2026-07-06:304.80,2026-07-06,none,"Pay USD 304.80 on 6 July 2026. This leaves at least USD 736.10 available, protecting the minimum balance of USD 500.00."
request_136,497.25,affordable_later,wait,2024-06-15:560.40,2024-06-15,none,"Make a payment of USD 560.40 on 15 June 2024. This leaves at least USD 1,100 available."
request_137,15198.07,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 71,800 minimum protected."
request_138,851.67,affordable_with_plan,partial_payment,2026-04-07:851.67|2026-04-15:405.27,2026-04-15,none,"Pay EUR 851.67 on 7 April 2026. This leaves at least EUR 2,300 available."
request_139,1289.47,affordable_with_plan,installments,2024-09-07:802.88|2024-10-08:802.88|2024-11-08:802.88,2024-09-15,none,"Use 3 installments of USD 802.88, starting 7 September 2024. This leaves at least USD 1,500 available."
request_140,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 5 March 2024. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,13690.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 12 February 2026. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 on 5 December 2024. This leaves at least USD 1,700 available."
request_143,3290.19,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Make a payment of ZAR 12,584 on 15 July 2025. This leaves at least ZAR 11,300 available."
request_144,0,not_affordable,not_recommended,none,,none,Do not make this payment by 26 July 2026. None of the available options keeps the USD 600.00 minimum protected.
request_145,43985.75,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13341:2920|stop:event_13342,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available."
request_146,21431.59,affordable_later,wait,2025-10-15:449400,2025-10-15,none,"Make the payment of INR 449,400 on 15 October 2025. This leaves at least INR 108,600 available."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900.00 minimum protected.
request_148,8017.74,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,none,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,20430.49,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-11-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,305.82,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,reduce_to:event_13787:16|stop:event_13786,Pay EUR 171.98 on 6 January 2026. This leaves at least EUR 700.00 available.
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 on 3 September 2024. This leaves at least IDR 31,633,600 available."
request_152,7456.64,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 September 2026. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1300 available."
request_155,38377.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 May 2025. None of the available options keeps the INR 56,300 minimum protected."
request_156,8909.93,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Make the payment of ZAR 43,076 on 15 June 2026. This leaves at least ZAR 26,900 available."
request_157,6039938.6,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Make the payment of IDR 23,503,000 on 15 May 2024. This leaves at least IDR 15,714,100 available."
request_158,242600,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,reduce_to:event_14534:3280,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 on 4 January 2026. This leaves at least ZAR 8,700 available."
request_160,643.61,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-06-15,none,"Pay EUR 432.05 on 13 June 2024. This leaves at least EUR 1,712.56 available, protecting the minimum balance of EUR 1,200.00."
request_161,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the IDR 23,010,400 minimum protected."
request_162,2111753.94,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 August 2026. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,10524352.77,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,000 available."
request_165,80600,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 on 6 April 2026. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 on 5 May 2025. This leaves at least ZAR 31,200 available."
request_168,33570.48,affordable_with_plan,partial_payment,2026-01-07:33570.48|2026-03-15:15809.52,2026-03-15,stop:event_15364,"Pay INR 33,570.48 on 7 January 2026. This leaves at least INR 114,400 available."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 on 5 March 2024. This leaves at least ZAR 18,700 available."
request_170,33055170.67,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-08-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,57.47,not_affordable,not_recommended,none,,none,Do not make this payment by 10 September 2026. None of the available options keeps the EUR 500.00 minimum protected.
request_172,8969.59,affordable_with_plan,partial_payment,2024-06-05:8969.59|2024-06-15:1230.41,2024-06-15,none,"Pay ZAR 8,969.59 on 5 June 2024. This leaves at least ZAR 27,200 available."
request_173,67567.19,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,reduce_to:event_15864:1272,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,Pay EUR 397.35 on 4 April 2026. This leaves at least EUR 700.00 available.
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 on 6 September 2024. This leaves at least EUR 1,700 available."
request_176,361.67,not_affordable,not_recommended,none,,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 on 5 January 2026. This leaves at least USD 1,300 available."
request_178,2934.12,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,,reduce_to:event_16352:46.40,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,4170144.33,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Make the payment of IDR 4,170,144.33 on 15 July 2025. This leaves at least IDR 41,430,800 available."
request_180,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2 September 2026. None of the available options keeps the INR 37,300 minimum protected."
request_181,351.51,affordable_later,wait,2024-05-15:5059.20,2024-05-15,none,Make a payment of USD 351.51 on 15 May 2024. This leaves at least USD 2000 available.
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714.00 on 5 August 2025. This leaves at least ZAR 31,100 available."
request_183,19546184.92,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,12659.19,not_affordable,not_recommended,none,,none,Do not make this payment by 30 July 2024. None of the available options keeps the INR 110800 minimum protected.
request_185,272.74,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_186,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,30818.62,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Make a payment of INR 187,500 on 15 November 2024. This leaves at least INR 128,300 available."
request_188,0,not_affordable,not_recommended,none,,none,Do not make this payment by 5 March 2024. None of the available options keeps the EUR 900.00 minimum protected.
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 on 4 July 2026. This leaves at least EUR 400.00 available.
request_190,371.39,affordable_later,wait,2024-12-15:2557.50,2024-12-15,none,"Wait until 15 December 2024 to make a payment of EUR 2,557.50, which will leave at least EUR 1,600 protected."
request_191,664.4,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 on 5 May 2025. This leaves at least EUR 500 available.
request_192,148.62,affordable_later,wait,2026-06-15:2046,2026-06-15,none,"Make a payment of USD 148.62 on 15 June 2026. This leaves at least USD 1,000 available."
request_193,83.66,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,23516.81,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Make a payment of INR 132,800 on 15 October 2025. This leaves at least INR 113,600 available."
